2014-11-30 16:49:30,539 - login_logger - INFO - test
('user %s logout', u'82090')
2014-12-22 14:32:18,136:
('user %s logout', u'82090')
2014-12-22 14:39:06,450:
('user %s logout', u'55459')
2014-12-22 14:47:36,669:
('user %s logout', u'55459')
2014-12-22 14:49:29,659:
('user %s logout', u'55459')
2014-12-22 14:51:32,045:
('user %s logout', u'55459')
2014-12-22 14:55:27,856:
('user %s logout', u'55459')
2014-12-22 14:56:18,295:
('user %s logout', u'55459')
2014-12-22 14:57:31,959:
('user %s logout', u'55459')
2014-12-22 14:57:49,521:
('user %s logout', u'55459')
2014-12-22 15:00:39,729:
('user %s logout', u'55459')
2014-12-22 15:02:07,358:
('user %s logout', u'55459')
2014-12-22 15:04:11,290:
('user %s logout', u'55459')
2014-12-22 15:05:02,935:
('user %s logout', u'55459')
2014-12-22 15:05:25,760:
('user %s logout', u'55459')
2014-12-22 15:08:27,674:
('user %s logout', u'55459')
2014-12-22 15:09:57,735:
('user %s logout', u'55459')
2014-12-22 15:13:59,003:
('user %s logout', u'55459')
2014-12-22 15:18:37,864:
('user %s logout', u'82090')
2014-12-22 16:43:34,808:
('user %s logout', u'55459')
2014-12-22 16:44:20,958:
('user %s logout', u'55459')
2014-12-22 22:18:38,353:
('user %s logout', u'55459')
2014-12-22 22:19:04,771:
('user %s logout', u'55459')
2014-12-22 22:40:56,141:
('user %s logout', u'44728')
2014-12-22 22:41:25,342:
('user %s logout', u'44728')
2014-12-23 09:14:26,158:
('user %s logout', u'82090')
2014-12-23 19:33:40,220:
('user %s logout', u'55459')
2014-12-24 11:06:01,836:
('user %s logout', u'16136')
2014-12-25 18:52:39,171:
('user %s logout', u'104719')
2014-12-25 19:17:25,478:
('user %s logout', u'104719')
2014-12-26 21:53:14,079:
('user %s logout', u'44728')
2014-12-27 08:46:47,811:
('user %s logout', u'104719')
2014-12-27 08:48:56,473:
('user %s logout', u'104719')
2014-12-30 08:06:46,915:
('user %s logout', u'104719')
2014-12-30 11:03:29,874:
('user %s logout', u'104719')
2014-12-30 11:34:41,438:
('user %s logout', u'15124')
2014-12-30 11:48:10,474:
('user %s logout', u'15124')
2014-12-30 11:48:40,685:
('user %s logout', u'15124')
2014-12-30 11:50:32,877:
('user %s logout', u'104719')
2014-12-30 11:57:23,350:
('user %s logout', u'15124')
2014-12-30 12:14:24,613:
('user %s logout', u'15124')
2014-12-30 12:23:18,706:
('user %s logout', u'15124')
2014-12-30 12:31:01,291:
('user %s logout', u'41030')
2014-12-30 14:25:31,330:
('user %s logout', u'41030')
2014-12-30 15:39:30,204:
('user %s logout', u'104719')
2014-12-30 15:41:05,903:
('user %s logout', u'104719')
2014-12-30 15:41:28,070:
('user %s logout', u'104719')
2014-12-30 15:48:42,651:
('user %s logout', u'41030')
2014-12-30 15:51:17,064:
('user %s logout', u'41030')
2014-12-30 15:53:29,310:
('user %s logout', u'104719')
2014-12-30 15:56:55,564:
('user %s logout', u'41030')
2014-12-30 16:04:58,957:
('user %s logout', u'41030')
2014-12-30 16:05:12,181:
('user %s logout', u'41030')
2014-12-30 16:07:30,664:
('user %s logout', u'208219')
2014-12-30 16:10:17,613:
('user %s logout', u'208219')
2014-12-30 16:10:30,099:
('user %s logout', u'208219')
2014-12-30 16:20:49,353:
('user %s logout', u'208219')
2014-12-30 16:22:03,777:
('user %s logout', u'208219')
2014-12-30 16:32:18,438:
('user %s logout', u'15124')
2014-12-30 16:32:54,173:
('user %s logout', u'208219')
2014-12-30 16:40:07,493:
('user %s logout', u'208219')
2014-12-30 16:41:22,101:
('user %s logout', u'15124')
2014-12-30 18:06:10,521:
('user %s logout', u'15124')
2014-12-30 18:14:58,317:
('user %s logout', u'15124')
2014-12-30 18:17:49,865:
('user %s logout', u'15124')
2014-12-30 18:19:56,591:
('user %s logout', u'15124')
2014-12-30 18:28:32,508:
('user %s logout', u'15124')
2014-12-30 18:28:43,504:
('user %s logout', u'15124')
2014-12-30 18:28:58,868:
('user %s logout', u'15124')
2014-12-30 18:31:58,657:
('user %s logout', u'15124')
2014-12-30 22:38:05,298:
('user %s logout', u'104719')
2014-12-30 23:30:51,471:
('user %s logout', u'16136')
2014-12-31 08:43:32,426:
('user %s logout', u'104719')
2014-12-31 09:06:08,396:
('user %s logout', u'104719')
2014-12-31 11:22:41,399:
('user %s logout', u'208219')
2014-12-31 16:45:33,317:
('user %s logout', u'82090')
2014-12-31 16:55:48,429:
('user %s logout', u'268936')
2014-12-31 16:56:43,291:
('user %s logout', u'268936')
2014-12-31 16:56:52,429:
('user %s logout', u'268936')
2014-12-31 16:57:01,568:
('user %s logout', u'268936')
2014-12-31 17:00:41,060:
('user %s logout', u'268936')
2014-12-31 17:07:21,176:
('user %s logout', u'268936')
2014-12-31 22:22:45,801:
('user %s logout', u'82090')
2014-12-31 22:46:54,408:
('user %s logout', u'82090')
2014-12-31 22:47:25,497:
('user %s logout', u'82090')
2014-12-31 22:49:49,187:
('user %s logout', u'82090')
2014-12-31 22:52:04,867:
('user %s logout', u'82090')
2014-12-31 22:54:01,391:
('user %s logout', u'82090')
2014-12-31 22:54:48,253:
('user %s logout', u'82090')
2014-12-31 22:55:01,882:
('user %s logout', u'82090')
2014-12-31 22:55:47,142:
('user %s logout', u'82090')
2014-12-31 22:56:44,851:
('user %s logout', u'82090')
2014-12-31 22:57:20,601:
('user %s logout', u'82090')
2014-12-31 22:58:28,602:
('user %s logout', u'82090')
2014-12-31 22:58:33,413:
('user %s logout', u'82090')
2014-12-31 23:00:46,614:
('user %s logout', u'82090')
2014-12-31 23:03:25,216:
('user %s logout', u'82090')
2014-12-31 23:04:32,811:
('user %s logout', u'82090')
2014-12-31 23:16:13,234:
('user %s logout', u'82090')
2015-01-01 09:31:44,027:
('user %s logout', u'82090')
2015-01-01 15:14:30,920:
('user %s logout', u'82090')
2015-01-01 15:15:19,227:
('user %s logout', u'2005')
2015-01-01 15:15:31,244:
('user %s logout', u'2005')
